epoch,train_loss,val_loss,top1,top5,time_sec
0,5.277065034712475,4.942831279754639,3.22,12.35,177.95
1,5.172838911356908,4.796899772644043,4.87,17.69,176.17
2,5.099596536418998,4.663426953125,5.44,18.53,175.74
3,5.0273659043061745,4.449781075286865,8.16,25.55,175.74
4,4.970852840877831,4.326127508544922,9.99,28.9,175.57
5,4.919739101058237,4.165607046508789,12.27,33.72,175.76
6,4.853148421923726,4.075213687133789,13.77,34.92,175.95
7,4.811896385212409,3.9358902908325195,15.25,38.7,175.4
8,4.7567639882066945,3.796429355621338,17.83,41.82,175.53
9,4.717631642858136,3.730134501647949,19.29,43.97,175.41
